uid,name,age,gender,zip
0,Brank C Rodgess,67,M,59157
1,Mariyah K Spard,94,F,47838
2,Isabeth D Gillo,54,F,56821
3,Averick E Peter,46,M,72690
4,Damie Q Carper,72,M,42946
5,Victores V Mahony,31,M,24178
6,Apollon X Jarvey,21,M,23132
8,Jeffred H Milla,13,M,30739
9,Pipera Y Rowell,78,F,52666
10,Callent Y Schard,1,M,52484
12,Jesson Q Norrings,16,M,59707
13,Cullah R Hards,17,M,14423
14,Braela Y Terrera,66,F,42908
15,Morgina C Draker,7,F,60039
16,Quenter W Hampos,9,M,14713
17,Ridger J Stephen,43,M,15496
18,Ster X Thorner,92,M,25756
19,Iristol V Andez,66,F,65822
20,Jadeo L Villon,61,M,53866
21,Lachai N Velacios,1,M,39246
